event_id,event_date,customer_id,product_id,product_name,vendor_name,country_name,region,quantity,unit_price_local,net_revenue_local,discount_local,is_refunded,DayOfWeek,HourOfDay
DDF4B24A8C91,2025-06-21 10:03:00,CUST0003443,PROD0065,Microsoft Copilot for Office Monthly,Microsoft,Canada,NA,1,19.0,19.95,0.0,False,5,10
BD9FEBEC9B3F,2025-05-05 09:33:00,CUST0002954,PROD0018,GitHub Copilot Business Annual,GitHub,United States,NA,5,228.0,1140.0,0.0,False,0,9
CA766F5D217C,2024-09-09 04:59:00,CUST0000463,PROD0007,Team Seats Addâon Monthly,Other,United States,NA,1,9.0,9.0,0.0,False,0,4
91C029DA41E7,2025-09-07 03:01:00,CUST0002656,PROD0041,Canva Pro Monthly,Canva,United States,NA,5,12.0,60.0,0.0,False,6,3
FD1255BBCA9C,2025-05-24 15:45:00,CUST0001734,PROD0042,Canva Pro Annual,Canva,United States,NA,10,120.0,1200.0,0.0,False,5,15
3488F8AD0656,2025-04-06 07:10:00,CUST0001713,PROD0035,Miro Business Monthly,Other,United States,NA,1,16.0,16.0,0.0,False,6,7
9DA9062C3E1C,2025-09-26 13:11:00,CUST0003134,PROD0048,Freshdesk Growth Annual,Zendesk,United States,NA,25,90.0,2250.0,0.0,False,4,13
7EFBFB43FEF6,2025-05-09 15:43:00,CUST0001677,PROD0010,Priority Support Monthly,Other,United States,NA,3,25.0,60.0,15.0,False,4,15
8C8F39AA1442,2024-10-07 08:35:00,CUST0001377,PROD0065,Microsoft Copilot for Office Monthly,Microsoft,United States,NA,1,19.0,19.0,0.0,False,0,8
6B0E3B02D53C,2025-04-30 10:15:00,CUST0002170,PROD0005,AI Analytics Addâon Monthly,AI Tools,United States,NA,15,15.0,225.0,0.0,False,2,10
D5EE8829433E,2025-03-07 23:52:00,CUST0003476,PROD0033,AI Assistant Addâon Monthly,AI Tools,United States,NA,1,9.0,9.0,0.0,False,4,23
6804396F151B,2024-05-03 21:38:00,CUST0001703,PROD0001,Microsoft 365 Business Standard Monthly,Microsoft,United States,NA,1,49.0,49.0,0.0,False,4,21
7F18F98D4934,2025-08-06 20:44:00,CUST0003633,PROD0008,Team Seats Addâon Annual,Other,United States,NA,15,89.0,1335.0,0.0,False,2,20
167FE4E75F58,2024-07-05 02:26:00,CUST0003289,PROD0032,Advanced Reports Addâon Annual,Other,United States,NA,20,120.0,2400.0,0.0,False,4,2
CD256AC63659,2025-09-03 05:39:00,CUST0003540,PROD0048,Freshdesk Growth Annual,Zendesk,United States,NA,10,90.0,900.0,0.0,False,2,5
39F582992145,2025-10-17 05:27:00,CUST0003534,PROD0012,Onboarding Training Pack One-time,AI Tools,United States,NA,3,399.0,1197.0,0.0,False,4,5
F587E05E8C47,2025-04-02 16:22:00,CUST0000459,PROD0045,Monday.com Standard Monthly,Atlassian,United States,NA,3,15.0,45.0,0.0,False,2,16
463B13C90F64,2024-08-23 20:35:00,CUST0001510,PROD0028,Zoom Whiteboard Addâon Annual,Zoom,United States,NA,3,70.0,210.0,0.0,False,4,20
DA3594547D3A,2024-11-20 06:15:00,CUST0000401,PROD0009,Perpetual License (Legacy) One-time,Other,United States,NA,4,199.0,796.0,0.0,False,2,6
1AC9D8923AB6,2024-05-22 19:15:00,CUST0002842,PROD0029,Slack Huddles Addâon Monthly,Slack,United States,NA,15,5.0,75.0,0.0,False,2,19
E2D9B3E906BE,2024-06-02 09:16:00,CUST0003801,PROD0001,Microsoft 365 Business Standard Monthly,Microsoft,United States,NA,3,49.0,147.0,0.0,False,6,9
B3193AEE16CD,2025-06-29 19:44:00,CUST0001166,PROD0054,Datadog Pro Annual,Datadog,United States,NA,1,290.0,290.0,0.0,False,6,19
206FA0A588B8,2024-07-01 19:54:00,CUST0001713,PROD0001,Microsoft 365 Business Standard Monthly,Microsoft,United States,NA,1,49.0,49.0,0.0,False,0,19
439D4913E1A6,2024-12-17 11:24:00,CUST0002663,PROD0002,Microsoft 365 Business Standard Annual,Microsoft,United States,NA,25,499.0,12475.0,0.0,False,1,11
98AB8DAC08AB,2025-03-17 23:11:00,CUST0000293,PROD0030,Slack Huddles Addâon Annual,Slack,United States,NA,25,50.0,1250.0,0.0,False,0,23
8E6F051FF241,2025-04-16 20:45:00,CUST0001006,PROD0033,AI Assistant Addâon Monthly,AI Tools,United States,NA,10,9.0,90.0,0.0,False,2,20
4D3C1B26663B,2024-11-07 13:05:00,CUST0002024,PROD0046,Monday.com Standard Annual,Atlassian,United States,NA,3,150.0,450.0,0.0,False,3,13
B2C86C7E6048,2024-10-31 23:19:00,CUST0002579,PROD0046,Monday.com Standard Annual,Atlassian,United States,NA,1,150.0,150.0,0.0,False,3,23
FF73072B317F,2025-04-03 05:06:00,CUST0001969,PROD0077,ChatGPT Team Monthly,AI Tools,United States,NA,1,25.0,20.0,5.0,False,3,5
6AAAB3F67465,2025-08-11 14:16:00,CUST0002617,PROD0001,Microsoft 365 Business Standard Monthly,Microsoft,United States,NA,10,49.0,490.0,0.0,False,0,14
